Station (alphabetical by borough),Ridership 2019
Myrtle-Willoughby Avs (G),"1,820,637"
"Myrtle-Wyckoff Avs (L,M)","5,927,332"
Nassau Ave(G),"3,136,229"
Neck Rd (Q),"1,362,524"
Neptune Ave(F),"428,163"
"Nereid Ave(2,5)","1,006,617"
"Nevins St (2,3,4,5)","3,150,597"
New Lots Ave(3),"1,643,487"
New Lots Ave(L),"1,254,351"
New Utrecht Ave(N)/62nd St (D),"1,501,183"
"Newkirk Ave(2,5)","2,131,839"
"Newkirk Plaza (B,Q)","3,252,504"
"Northern Blvd (M,R)","2,008,091"
"Norwood Ave(J,Z)","948,571"
Norwood-205th St (D),"2,639,003"
Nostrand Ave(3),"1,370,372"
"Nostrand Ave(A,C)","5,608,232"
Ocean Pkwy (Q),"1,033,340"
Ozone Park-Lefferts Blvd (A),"2,216,647"
Park Pl (S),"519,984"
Parkchester (6),"4,734,709"
Parkside Ave(Q),"1,955,051"
Parsons Blvd (F),"2,086,114"
Pelham Bay Park (6),"2,134,403"
"Pelham Pkwy (2,5)","2,651,208"
Pelham Pkwy (5),"896,134"
Pennsylvania Ave(3),"1,360,708"
"President St (2,5)","1,037,219"
"Prince St (R,W)","4,342,692"
"Prospect Ave(2,5)","2,148,059"
Prospect Ave(R),"1,780,893"
"Prospect Park (B,Q,S)","3,323,334"
"Queens Plaza (E,M,R)","4,334,290"
"Queensboro Plaza (N,W,7)","5,018,211"
Ralph Ave(C),"1,829,126"
Rector St (1),"2,554,523"
"Rector St (R,W)","2,014,996"
Rockaway Ave(3),"1,451,431"
Rockaway Ave(C),"1,787,343"
Rockaway Blvd (A),"2,299,903"
"Rockaway Park-Beach 116th St (A,S)","228,144"
Roosevelt Island (F),"2,380,764"
Saratoga Ave(3),"1,556,357"
Seneca Ave(M),"1,080,829"
"Sheepshead Bay (B,Q)","4,169,796"
Shepherd Ave(C),"977,012"
"Simpson St (2,5)","2,602,749"
"Smith-9th Sts (F,G)","1,435,824"
"South Ferry (1)/Whitehall St (R,W)","10,272,682"
Spring St (6),"3,754,272"
"Spring St (C,E)","4,423,135"
St. Lawrence Ave. (6),"1,276,865"
"Steinway St. (M,R)","4,715,335"
"Sterling St. (2,5)","1,654,809"
Sutphin Blvd (F),"1,345,420"
"Sutphin Blvd-Archer Ave-JFK Airport (E,J,Z)","7,354,064"
Sutter Ave(L),"1,047,762"
Sutter Ave-Rutland Rd (3),"2,019,485"
"Times Sq-42nd St (N,Q,R,S,W,1,2,3,7)/42nd St (A,C,E)/Bryant Pk (B,D,F,M)/5th Ave(7)","82,233,996"
"Tremont Ave(B,D)","3,052,099"
Union St (R),"2,271,983"
"Utica Ave(A,C)","5,106,247"
Van Cortlandt Park-242nd St (1),"2,189,109"
Van Siclen Ave(3),"853,106"
Van Siclen Ave(C),"918,811"
"Van Siclen Ave(J,Z)","791,691"
Vernon Blvd-Jackson Ave(7),"4,623,070"
Wakefield-241st St (2),"1,404,748"
"Wall St (2,3)","6,910,581"
"Wall St (4,5)","5,720,475"
"West 4th St-Washington Sq (A,B,C,D,E,F,M)","14,063,633"
"West 8th St-New York Aquarium (F,Q)","837,836"
"West Farms Sq-East Tremont Ave(2,5)","2,104,945"
Westchester Sq-East Tremont Ave(6),"1,796,415"
Whitlock Ave(6),"586,845"
Wilson Ave(L),"1,290,221"
"Winthrop St (2,5)","1,882,065"
"Woodhaven Blvd (J,Z)","1,337,787"
"Woodhaven Blvd (M,R)","6,381,132"
Woodlawn (4),"2,094,285"
Woodside-61st St (7),"5,345,369"
WTC Cortlandt (1) ,"4,232,521"
York St (F),"3,927,129"
Zerega Ave(6),"795,756"
