census_tract,population_density
36005051601,10769.84075
36005051602,0
36047000100,57527.87093
36047000200,11269.80396
36047000301,49610.45698
36047000501,136237.0067
36047000502,70636.76608
36047000700,64685.96638
36047000900,81865.47906
36047001100,24254.1916
36047001300,21777.0773
36047001501,80894.02123
36047001502,105697.8064
36047001801,14277.04203
36047001802,25.98367736
36047001803,67.44969001
36047001804,0
36047002000,28464.36098
36047002100,29256.13389
36047002200,34952.49152
36047002300,56003.12117
36047002901,74645.77674
36047003000,42567.86826
36047003101,58666.21249
36047003102,0
36047003300,75645.24298
36047003400,18928.54432
36047003500,46765.72734
36047003600,81839.5774
36047003700,71032.96657
36047003800,31064.90259
36047003900,43638.77999
36047004100,54322.77975
36047004300,59666.67844
36047004400,15114.53533
36047004500,52790.26081
36047004600,10338.66546
36047004700,17794.93166
36047004900,64051.95329
36047005000,29311.84855
36047005100,38308.912
36047005201,36405.29819
36047005202,51849.51065
36047005301,9739.385707
36047005302,285.88972
36047005303,0
36047005400,54805.58901
36047005601,40199.07229
36047005602,33253.16307
36047005800,46222.03335
36047005900,12703.34775
36047006000,48921.61755
36047006200,47211.70191
36047006300,50392.68183
36047006400,46184.22709
36047006500,56578.41364
36047006600,66948.17427
36047006700,60014.32431
36047006800,76662.71775
36047006901,56751.89333
36047006902,48559.95467
36047007000,42600.25706
36047007100,67435.84824
36047007200,86291.48689
36047007400,106853.7095
36047007500,42964.66433
36047007600,91215.7467
36047007700,37843.3466
36047007800,100007.2839
36047008000,74917.23906
36047008200,74311.67294
36047008400,35158.25619
36047008500,70955.22516
36047008600,0
36047008800,44559.46276
36047009001,65525.33795
36047009002,48720.3271
36047009201,95511.89999
36047009202,156614.1373
36047009401,107294.258
36047009402,108614.7225
36047009600,111020.1023
36047009800,127607.5833
36047010000,132801.862
36047010100,37772.20132
36047010200,111754.2871
36047010401,102555.9326
36047010402,100818.0966
36047010601,104273.8494
36047010602,96741.18732
36047010801,98672.74458
36047010802,97438.91057
36047011000,44390.24347
36047011200,100326.072
36047011400,64058.18037
36047011600,89351.72558
36047011700,34396.71928
36047011800,30455.99252
36047011901,9177.657205
36047011902,0
36047012000,15753.56564
36047012100,33517.16248
36047012200,78714.32915
36047012600,33858.9934
36047012700,63976.54441
36047012801,57826.11022
36047012901,46998.02442
36047012902,63477.0033
36047013000,78492.93686
36047013100,65894.44836
36047013200,47717.04323
36047013300,76936.38087
36047013400,40669.97519
36047013500,64789.35129
36047013600,49309.04287
36047013700,57863.72933
36047013800,51726.79766
36047013900,63786.56902
36047014000,37500.94473
36047014101,55348.77392
36047014102,53689.58724
36047014200,44420.56503
36047014300,44179.02691
36047014500,52654.37737
36047014700,54791.54451
36047014800,24141.83436
36047014901,52820.23731
36047014902,53337.83292
36047015000,34745.27926
36047015100,64111.79115
36047015200,24582.83872
36047015300,45318.80888
36047015400,25.25612933
36047015500,59987.96089
36047015700,68791.81879
36047015900,53748.58499
36047016000,44683.62702
36047016100,48989.06561
36047016200,24166.19011
36047016300,57514.01986
36047016400,2502.285321
36047016500,70492.85564
36047016600,19095.25488
36047016700,72893.4846
36047016800,26085.16934
36047016900,55135.33
36047017000,44651.76134
36047017100,46174.80645
36047017200,41426.35071
36047017400,30508.54823
36047017500,6.602406346
36047017600,46863.05325
36047017700,16.79594198
36047017800,46724.63414
36047017900,63731.54963
36047018000,45958.80085
36047018100,64285.60199
36047018200,58620.38679
36047018300,52512.37404
36047018400,42721.02187
36047018501,103998.636
36047018600,54157.58515
36047018700,40343.99739
36047018800,43680.6318
36047019000,59028.67444
36047019100,34972.39477
36047019200,48322.60661
36047019300,60291.45467
36047019400,51822.98599
36047019500,69631.86934
36047019600,64520.00822
36047019700,54676.49073
36047019800,39624.13442
36047019900,54537.89695
36047020000,46899.33631
36047020100,57033.81623
36047020200,41242.94832
36047020300,39204.3509
36047020400,39195.37333
36047020500,55217.91949
36047020600,37953.92554
36047020700,91490.67058
36047020800,68350.19375
36047021000,77481.07707
36047021100,23867.56407
36047021200,71633.08581
36047021300,54568.69958
36047021400,38580.35886
36047021500,94697.38743
36047021600,65913.19102
36047021700,94158.16738
36047021800,68778.60669
36047021900,74418.86876
36047022000,75455.05217
36047022100,66367.59098
36047022200,82807.76009
36047022400,90240.3488
36047022600,44178.05117
36047022700,48584.0652
36047022800,56295.67698
36047022900,59128.49849
36047023000,76220.02435
36047023100,62258.23338
36047023200,73017.03103
36047023300,89845.77607
36047023400,90353.03046
36047023500,108320.1644
36047023600,99847.16944
36047023800,82539.82148
36047024000,78805.3562
36047024100,45630.00805
36047024200,44493.79499
36047024300,72942.99177
36047024400,60897.52694
36047024500,66081.18068
36047024600,51476.16131
36047024700,40634.94784
36047024800,38946.41358
36047024900,65542.85462
36047025000,26093.04015
36047025100,78715.7066
36047025200,75724.37678
36047025300,56287.73456
36047025400,53868.30283
36047025500,89657.16726
36047025600,50311.34533
36047025700,40353.04975
36047025800,77187.49118
36047025901,75162.89238
36047025902,154675.4337
36047026000,58140.51066
36047026100,84148.79649
36047026200,44725.40234
36047026300,45215.0007
36047026400,69760.99465
36047026500,71156.19129
36047026600,61839.22836
36047026700,68627.87278
36047026800,67814.82594
36047026900,58104.86271
36047027000,52552.38593
36047027100,36872.70212
36047027200,71204.23774
36047027300,54168.21367
36047027400,51874.59132
36047027500,65054.51821
36047027600,67369.22922
36047027700,69515.61791
36047027800,57167.21606
36047027900,58765.93903
36047028000,34515.13105
36047028100,76769.76621
36047028200,50182.36495
36047028300,83580.21927
36047028400,69315.68973
36047028501,19794.18357
36047028502,57435.72117
36047028600,89364.54309
36047028700,54006.30843
36047028800,66102.25381
36047028900,61460.62667
36047029000,73274.06714
36047029100,47853.2075
36047029200,35048.54618
36047029300,53576.18373
36047029400,31547.04885
36047029500,60600.80315
36047029600,72491.11752
36047029700,49403.06258
36047029800,46386.54938
36047029900,45455.63886
36047030000,56088.45539
36047030100,39562.1383
36047030200,53848.47942
36047030300,50577.60408
36047030400,26084.91254
36047030500,58213.61735
36047030600,29619.95973
36047030700,54572.93844
36047030800,8793.15858
36047030900,37673.97913
36047031100,54129.48205
36047031300,75915.2091
36047031401,29582.11063
36047031402,0
36047031500,80679.7454
36047031701,74118.27604
36047031702,68812.88402
36047031900,59074.165
36047032100,88783.87298
36047032300,52519.37573
36047032500,95624.7425
36047032600,55665.08023
36047032700,44960.60036
36047032800,34372.10277
36047032900,94497.19032
36047033000,30782.56725
36047033100,76663.76115
36047033300,62589.70872
36047033500,46314.80296
36047033600,17931.80065
36047033701,65883.63345
36047033702,55405.29351
36047033900,67007.03162
36047034000,39101.24219
36047034100,49754.00859
36047034200,79515.54529
36047034300,80244.33084
36047034500,43347.74192
36047034700,67539.28558
36047034800,12357.05897
36047034901,76525.65427
36047034902,92955.84022
36047035000,40198.93648
36047035101,83122.4239
36047035102,73040.45972
36047035200,3573.785539
36047035301,95054.26732
36047035302,78129.05798
36047035400,37629.3826
36047035500,97157.76553
36047035601,110710.6374
36047035602,83022.06087
36047035701,86148.66473
36047035702,352.3633395
36047035900,79248.0599
36047036001,92523.96195
36047036002,126531.0531
36047036100,54410.12426
36047036200,62664.66203
36047036300,53699.2268
36047036400,54349.06756
36047036501,60657.52101
36047036502,40359.81169
36047036600,51779.18549
36047036700,25423.12562
36047036900,70091.05906
36047037000,36589.04093
36047037100,61594.40585
36047037300,66490.04081
36047037401,53930.80785
36047037402,46104.66934
36047037500,62120.30988
36047037700,54059.64375
36047037900,54277.55653
36047038100,57449.80146
36047038200,65262.58045
36047038300,64371.67592
36047038500,58928.4888
36047038600,39305.35796
36047038700,67516.45786
36047038800,52955.70438
36047038900,56749.87516
36047039000,34577.86683
36047039100,90025.279
36047039200,43136.30488
36047039300,56566.30068
36047039400,29486.37815
36047039500,65349.6847
36047039600,30895.68725
36047039700,62938.27209
36047039800,36264.58048
36047039900,74971.354
36047040000,44259.11785
36047040100,61315.8962
36047040200,39667.62882
36047040300,47938.33454
36047040400,47397.15122
36047040500,34080.7509
36047040600,63389.52874
36047040700,30.78225318
36047040800,66608.40126
36047040900,57117.72039
36047041000,38721.74457
36047041100,63981.13905
36047041200,52873.84317
36047041300,63102.65833
36047041401,28368.09603
36047041402,31117.96922
36047041500,64187.73889
36047041600,33648.82941
36047041700,61436.56618
36047041800,41690.86741
36047041900,65675.1612
36047042000,29362.92355
36047042100,82174.12764
36047042200,41742.56983
36047042300,64895.02449
36047042400,67148.13488
36047042500,46693.1413
36047042600,66270.49357
36047042700,85945.7118
36047042800,67461.52761
36047042900,85586.33785
36047043000,62179.65092
36047043100,75201.99155
36047043200,78559.9005
36047043300,59159.70094
36047043400,71695.81125
36047043500,72528.10431
36047043600,88403.97955
36047043700,81368.945
36047043800,48207.66654
36047043900,53055.10835
36047044000,36984.95822
36047044100,100776.4659
36047044200,37270.60049
36047044300,80199.48656
36047044400,48373.82482
36047044500,64193.14074
36047044600,37019.66706
36047044700,39118.11074
36047044800,22666.27364
36047044901,18074.5986
36047044902,64.87125989
36047045000,7580.693476
36047045200,36392.94845
36047045300,15287.24269
36047045400,39854.40148
36047045600,46640.48314
36047045800,22493.88935
36047046000,50566.50786
36047046201,54498.44212
36047046202,28335.76698
36047046400,43141.20096
36047046800,18712.59722
36047047000,40213.93125
36047047200,46447.84155
36047047400,47596.21325
36047047600,50681.12481
36047047700,50252.46911
36047047800,62143.88334
36047048000,64665.99271
36047048100,53150.34361
36047048200,80619.83748
36047048400,73318.71668
36047048500,11000.66266
36047048600,53102.44551
36047048800,81965.99154
36047048900,106251.132
36047049000,81508.07652
36047049100,77348.25584
36047049200,52317.33794
36047049301,72444.81327
36047049302,88538.30679
36047049400,78338.88073
36047049500,62471.22555
36047049600,59284.45425
36047049700,49413.56165
36047049800,57250.53853
36047049900,39243.07325
36047050001,38133.20426
36047050002,66939.71591
36047050100,44259.58288
36047050202,44115.10683
36047050300,57026.15889
36047050401,53543.45062
36047050402,61541.35041
36047050500,69820.76356
36047050600,88259.48117
36047050700,52637.50558
36047050801,142707.5443
36047050803,117665.854
36047050804,155645.9623
36047050900,93378.97887
36047051001,125894.2466
36047051002,111275.6013
36047051100,74032.70018
36047051200,110006.7764
36047051300,55452.43583
36047051400,100448.889
36047051500,33960.65025
36047051601,120800.7204
36047051602,110097.3677
36047051700,36437.62438
36047051800,45385.1234
36047051900,57473.64573
36047052000,56741.94986
36047052300,96571.34183
36047052500,77609.51282
36047052600,66579.76404
36047052700,82401.64556
36047052800,26608.60703
36047052900,63658.73528
36047053000,53908.87367
36047053101,98463.76563
36047053102,183919.6243
36047053200,37295.7321
36047053300,95406.00163
36047053400,71359.03771
36047053500,88787.21405
36047053700,66569.37638
36047053800,87172.37098
36047053900,68159.59582
36047054200,65034.13879
36047054300,13.55540575
36047054400,51593.65799
36047054500,112759.1979
36047054600,77540.94555
36047054700,119605.8423
36047054800,32730.33826
36047054900,62920.26803
36047055000,56981.06114
36047055100,70938.19956
36047055200,57694.65542
36047055300,51013.83535
36047055400,73629.87959
36047055500,85993.43348
36047055600,52015.32868
36047055700,16943.06699
36047055800,41288.89828
36047056000,54420.70135
36047056100,26472.1685
36047056200,25700.64316
36047056301,71027.94726
36047056302,27179.85855
36047056400,37120.79122
36047056500,40684.3717
36047056600,38473.09173
36047056800,28797.91779
36047056900,32872.28623
36047057000,34885.64935
36047057100,62839.98019
36047057200,55503.99522
36047057300,39426.29639
36047057400,41647.00183
36047057500,69987.71355
36047057600,47552.3789
36047057800,50105.61284
36047057901,14918.47248
36047057902,0
36047058000,57173.98388
36047058200,48806.58853
36047058400,52246.96207
36047058600,42077.16211
36047058800,57313.32813
36047058901,22877.84625
36047058902,0
36047059000,32934.31638
36047059100,51987.16185
36047059200,50404.77134
36047059300,31331.33335
36047059402,41001.02872
36047059403,47347.19427
36047059404,53592.05461
36047059600,38441.90781
36047059800,47024.26811
36047060000,40293.68693
36047060600,45915.93234
36047060800,25921.89586
36047061002,57710.02307
36047061003,78113.46693
36047061004,76940.27445
36047061200,13888.28086
36047061600,6613.309083
36047062000,14320.47511
36047062200,34799.99071
36047062600,25658.67865
36047062800,17612.44994
36047063200,32551.83406
36047063600,29834.29133
36047063800,30088.87689
36047064000,27351.35923
36047064200,31566.40839
36047064400,35108.35086
36047064600,34807.127
36047064800,34066.64434
36047065000,22420.96838
36047065200,17744.6191
36047065400,28733.39248
36047065600,30271.44812
36047065800,31140.98961
36047066000,29961.51934
36047066200,16750.96576
36047066600,0.639983909
36047067000,35765.82586
36047067200,21330.90434
36047067400,27267.49835
36047067600,27037.73177
36047067800,44781.22939
36047068000,28943.12625
36047068200,31877.13005
36047068600,30606.1174
36047068800,28159.22
36047069000,28159.69557
36047069200,35705.34729
36047069601,22287.85335
36047069602,23616.58011
36047069800,7336.372479
36047070000,21167.05483
36047070201,16201.69703
36047070202,10.53567706
36047070203,0
36047070601,15439.4431
36047070602,8.656716967
36047072000,36093.00212
36047072200,29135.61515
36047072400,25752.72159
36047072600,24302.78599
36047072800,44520.18986
36047073000,30359.83816
36047073200,35191.11052
36047073400,31161.10112
36047073600,50529.04118
36047073800,47187.17754
36047074000,54961.56519
36047074200,44912.91495
36047074400,37782.14323
36047074600,26920.28707
36047074800,28401.27539
36047075000,43729.00971
36047075200,15582.33828
36047075400,20934.08266
36047075600,28862.87666
36047075800,25299.13593
36047076000,40394.12506
36047076200,60478.91869
36047076400,60635.22418
36047076600,62414.63973
36047076800,34569.14551
36047077000,44033.33326
36047077200,19665.13532
36047077400,53091.91449
36047077600,52536.99961
36047078000,34583.75555
36047078200,62801.48439
36047078400,37760.69993
36047078601,70559.57026
36047078602,63970.51262
36047078801,56718.10982
36047078802,53777.54251
36047079001,57696.16214
36047079002,79673.40107
36047079201,41510.87424
36047079202,76087.19611
36047079400,31963.79122
36047079601,96773.52603
36047079602,86124.44911
36047079801,59057.63816
36047079802,137503.1705
36047080000,53118.32321
36047080200,63210.67867
36047080400,45410.1302
36047080600,58882.47627
36047080800,15612.2271
36047081000,46360.56671
36047081400,47500.51446
36047081600,37197.55645
36047081800,79215.05851
36047082000,95773.78237
36047082200,109801.2068
36047082400,59963.66218
36047082600,67191.82695
36047082800,69528.76974
36047083000,79156.5989
36047083200,42030.87384
36047083400,35624.30913
36047083600,26870.57969
36047083800,34534.82819
36047084000,35394.79182
36047084600,30887.62486
36047084800,32548.84884
36047085000,27025.8683
36047085200,209.4453413
36047085400,39468.39966
36047085600,58256.28
36047085800,46260.47066
36047086000,56255.2849
36047086200,63332.70691
36047086400,42913.74666
36047086600,56011.6365
36047086800,50633.39678
36047087000,59378.21678
36047087200,55035.74946
36047087401,74171.91277
36047087600,38208.84746
36047087800,46697.57909
36047088001,67655.34935
36047088002,35215.6147
36047088200,86731.92056
36047088400,85470.42568
36047088600,65526.44853
36047088800,51491.14772
36047089000,69677.0329
36047089200,52949.27683
36047089400,57660.56378
36047089600,70926.43486
36047089800,39078.77227
36047090000,57167.20741
36047090200,51878.59045
36047090600,59964.99835
36047090800,51485.76064
36047091000,71006.42356
36047091200,101780.1153
36047091600,63764.82235
36047091800,33395.36695
36047092000,38126.44417
36047092200,48640.90926
36047092400,37333.97618
36047092800,47131.42602
36047093000,34230.20865
36047093200,11793.83059
36047093400,35930.3683
36047093600,29080.72112
36047093800,52587.98716
36047094401,24196.37648
36047094402,68107.1906
36047094600,19109.92711
36047095000,33865.40872
36047095400,56339.71855
36047095600,47868.26152
36047095800,41661.17582
36047096000,36.66054397
36047096200,24598.37849
36047096400,38443.31241
36047096600,33630.63922
36047096800,27026.29423
36047097000,37348.43509
36047097400,29877.09509
36047098200,30542.20529
36047098400,47612.01471
36047098600,46728.08555
36047098800,49307.66763
36047099000,26133.85073
36047099200,39561.19023
36047099400,31502.06707
36047099600,55324.29439
36047099800,26126.15446
36047100400,56897.59635
36047100600,45324.27921
36047100800,38076.29204
36047101000,39376.68151
36047101200,34074.33781
36047101400,37908.6231
36047101600,35733.34687
36047101800,18528.27389
36047102000,36052.22659
36047102200,36786.48468
36047102400,40842.64046
36047102600,56651.22369
36047102801,29519.27269
36047102802,14.97121929
36047103401,58540.44183
36047103402,0
36047105801,43407.55095
36047105804,21795.94159
36047107001,7601.388251
36047107002,0
36047107003,0
36047107800,21025.55171
36047109800,6941.94461
36047110400,17677.59898
36047110600,69014.6639
36047111000,62935.41115
36047111600,17798.78805
36047111800,55960.32305
36047112000,52097.976
36047112200,56081.69475
36047112400,62445.49333
36047112600,67139.86697
36047112800,62727.33746
36047113000,59594.63081
36047113200,32039.37386
36047113400,44871.51678
36047114201,16181.07737
36047114202,58029.08441
36047114400,14543.04842
36047114600,50699.38596
36047115000,51112.36982
36047115200,54501.11985
36047115600,72128.62704
36047115800,54479.97419
36047116000,44987.04506
36047116200,42863.43745
