station_index_id,station_name,ridership_in_2019,latitude,longitude
187,Bedford Park Blvd,2143375,40.873244,-73.887138
188,Bedford Park Blvd-Lehman College,1538253,40.873412,-73.890064
189,Bergen St,1208319,40.68086214,-73.97499915
190,Bergen St,3577496,40.68611055,-73.9907565
191,Beverley Rd,1048249,40.64512352,-73.94884798
192,Beverly Rd,1284232,40.6439046,-73.9643578
193,Bowery,1325244,40.72024688,-73.99380691
194,Bowling Green,8362034,40.704914,-74.014008
195,Briarwood-Van Wyck Blvd,1501152,40.70916182,-73.82069264
196,Brighton Beach,3745994,40.5777102,-73.96135379
197,Broad Channel,90358,40.60840218,-73.81583269
198,Broad St,2172223,40.706476,-74.011056
199,Broadway,1506905,40.70612658,-73.95031226
200,Broadway,3038655,40.761432,-73.925823
201,Broadway-Lafayette St/Bleecker St,12455155,40.72560583,-73.9954315
202,Broadway Junction,2759349,40.67871864,-73.90424119
203,Bronx Park E,769303,40.84876867,-73.86835609
204,Brook Ave,1823468,40.807566,-73.91924
205,Brooklyn Bridge-City Hall/Chambers St,9065146,40.71314939,-74.00376887
206,Buhre Ave,1146032,40.84681,-73.832569
207,Burke Ave,1000896,40.8712588,-73.86705362
208,Burnside Ave,3113514,40.853453,-73.907684
209,Bushwick Ave-Aberdeen St,600188,40.68286063,-73.90526176
210,Canal St,1984827,40.722854,-74.006277
212,Canal St,6403172,40.720824,-74.005229
211,Canal St,15861864,40.71881404,-74.00072502
213,Canarsie-Rockaway Pkwy,3302691,40.64665367,-73.90185
214,Carroll St,3615019,40.68027335,-73.99494698
215,Castle Hill Ave,1954511,40.834255,-73.851222
216,Cathedral Pkwy-110th St,3703893,40.803967,-73.966847
217,Cathedral Pkwy-110th St,2396624,40.80058156,-73.95806671
218,Central Ave,1472067,40.697873,-73.927243
219,Central Park North-110th St,2666985,40.799075,-73.951822
220,Chambers St,5941546,40.715478,-74.009266
221,Chauncey St,1076510,40.6828513,-73.91038357
222,Christopher St-Sheridan Sq,3412332,40.733422,-74.002906
223,Church Ave,2862033,40.65086069,-73.94945514
224,Church Ave,5061013,40.65049325,-73.96288246
225,Church Ave,3051736,40.644272,-73.97972116
226,City Hall,1710380,40.71327233,-74.00698582
227,Clark St,1781419,40.697466,-73.993086
228,Classon Ave,1722852,40.688889,-73.95999
229,Cleveland St,880879,40.679778,-73.885194
230,Clinton-Washington Aves,2144338,40.683263,-73.965838
231,Clinton-Washington Aves,1609332,40.688094,-73.966796
232,Coney Island-Stillwell Ave,4579191,40.577281,-73.981236
233,Cortelyou Rd,1957538,40.64094017,-73.96379006
234,Court Sq-23rd St,7033377,40.74703205,-73.94504477
235,Court St/Borough Hall,10135722,40.69327316,-73.99065577
236,Crescent St,1391945,40.68315266,-73.87392925
237,Crown Heights-Utica Ave,7933008,40.66897831,-73.93293256
238,Cypress Ave,1043922,40.805368,-73.914042
239,Cypress Hills,420647,40.689616,-73.873322
240,DeKalb Ave,6708640,40.69064812,-73.98177094
241,DeKalb Ave,3290894,40.703693,-73.918232
242,Delancey St/Essex St,8861296,40.7184934,-73.98774374
243,Ditmas Ave,1177275,40.63611867,-73.978172
244,Dyckman St,2079656,40.860531,-73.925536
245,Dyckman St,2238372,40.865491,-73.927271
246,E 105th St,1001343,40.65046879,-73.89954769
247,E 143rd St-St Mary's St,313938,40.808719,-73.907657
248,E 149th St,1467410,40.812118,-73.904098
249,E 180th St,2211198,40.84186304,-73.8733461
250,E Broadway,4460330,40.713855,-73.990177
251,Eastchester-Dyre Ave,1331886,40.8883,-73.830834
252,Eastern Pkwy-Brooklyn Museum,1338351,40.67203224,-73.96422204
253,Elder Ave,1996492,40.828584,-73.879159
254,Elmhurst Ave,3867341,40.74237008,-73.88203475
255,Euclid Ave,3240578,40.675377,-73.872106
256,Far Rockaway-Mott Ave,1347765,40.603995,-73.755405
257,Flatbush Ave-Brooklyn College,5684108,40.63284241,-73.94754121
258,Flushing-Main St,17568837,40.7596,-73.83003
259,Flushing Ave,732897,40.70037667,-73.950234
260,Flushing Ave,2773154,40.7004044,-73.94137735
261,Fordham Rd,3120976,40.862803,-73.901034
262,Fordham Rd,3671217,40.861296,-73.897749
263,Forest Ave,1310163,40.704412,-73.903075
264,Forest Hills-71st Ave,8027234,40.72159431,-73.84451672
265,Fort Hamilton Pkwy,1207971,40.64091271,-73.99420224
266,Fort Hamilton Pkwy,1800167,40.65078167,-73.975776
267,Fort Hamilton Pkwy,1372278,40.63138567,-74.005351
268,Franklin Ave,1977940,40.68098767,-73.9563375
269,Franklin Ave/Botanic Garden,4999385,40.67055391,-73.95867237
270,Franklin St,1567005,40.719318,-74.006886
271,Freeman St,1358821,40.82998745,-73.89175225
272,Fresh Pond Rd,1776084,40.706226,-73.895898
273,Fulton Center,27715365,40.70999221,-74.00791027
274,Fulton St,1768601,40.687119,-73.975375
275,Gates Ave,2249791,40.689584,-73.922156
276,Graham Ave,2709511,40.714576,-73.943944
277,Grand Army Plaza,2295401,40.6752947,-73.97095633
278,Grand Ave-Newtown,5730846,40.73681342,-73.87722086
279,Grand Central-42nd St,45745700,40.75200237,-73.97731443
280,Grand St,8024364,40.718267,-73.993753
281,Grand St,1847219,40.711576,-73.940497
282,Grant Ave,1749932,40.677044,-73.86505
283,Greenpoint Ave,3089912,40.731267,-73.954425
285,Gun Hill Rd,2271942,40.87783939,-73.86613411
284,Gun Hill Rd,1248513,40.869526,-73.846384
286,Halsey St,2120521,40.68641527,-73.91663888
287,Halsey St,2176141,40.695518,-73.903934
288,Harlem-148th St,1120454,40.82388,-73.93647
289,Hewes St,1117566,40.70689,-73.953488
290,High St,3536860,40.699337,-73.990531
291,Houston St,4496793,40.728251,-74.005367
292,Howard Beach-JFK Airport,1171303,40.660476,-73.830301
293,Hoyt-Schermerhorn Sts,3605153,40.68840848,-73.98503624
294,Hoyt St,2293256,40.69054419,-73.9850638
295,Hunters Point Ave,1885928,40.742216,-73.948916
296,Hunts Point Ave,3174354,40.820948,-73.890549
297,Intervale Ave,964689,40.82214213,-73.89661738
298,Inwood-207th St,3150731,40.868072,-73.919899
299,Jackson Ave,1584727,40.81643747,-73.90770194
300,Jackson Heights-Roosevelt Ave/74th St,17077862,40.74670363,-73.8912519
301,Jamaica-179th St,6262449,40.71264567,-73.783817
302,Jamaica-Van Wyck,1412179,40.70289855,-73.81701287
303,Jamaica Center-Parsons/Archer,10010419,40.70206738,-73.80109632
304,Jay St-MetroTech,12238047,40.69236302,-73.98663742
305,Jefferson St,2237997,40.70660667,-73.922913
306,Junction Blvd,6883317,40.749145,-73.869527
307,Junius St,676092,40.663589,-73.90244864
308,Kew Gardens-Union Tpke,7625674,40.71403482,-73.83037027
309,Kings Hwy,5938819,40.60863865,-73.95760874
310,Kings Hwy,1129071,40.60325841,-73.97235531
311,Kings Hwy,1371311,40.604059,-73.980373
312,Kingsbridge Rd,2733096,40.86776,-73.897174
313,Kingsbridge Rd,2485283,40.866978,-73.893509
